id,text,label
16735,Ты бдица в небесаг)),skip
20928,Целины на 4ерной Акбулака больше нет ) открытие удалось на славу!,neutral
15427,А до неба рукой подать)😊😗🙊😻👸👑🌻🌙🌞🌝,positive
21214,хорошее кино,positive
10786,даунам не понять!,negative
7026,Что надо для любви?,neutral
7369,давай в отпуске не замечать разногласий???))),neutral
15733,"Валеривна, зима...)))))",neutral
6105,"С.Федоров Тройка, С.Федоров Бразильская шутка , исп - Грицаенко Арина  домра ,Норильск , 8 кл, препод. Н.Федорова, С.Федоров",neutral
17510,"Таблетки ""Эриус"" закончились, уступив место таблеткам ""Зодак"". Принимаю перед сном и от этого просыпаюсь на четыре часа позже обычного, в диком ознобе (и это невзирая на сегодняшнюю жару). Настроения никакого, даже нет желания ныть. Хочется слушать, как ноет кто-то другой.
Но я совершенно не способен слушать.

Надеюсь только на 28-летнюю датчанку Марию Апетри, которая через пару недель споет мне, в результате чего я хоть на мгновение перестану быть мертв.",negative
11804,"❤
Еще чуток. Мы будем вместе.",positive
8174,"ты мне когда звонишь, я постоянно занят, в доту играю вечно :D",neutral
16292,На Ленинградке смотрелись бы неплохо )))),skip
6769,"БМВ , Кальянчик ))) арррррррр",skip
11647,даешь котокрокодилов во Флориде ! ))),neutral
18179,"• С Днем рождения!Желаю тебе♥ всего♥всего♥всего♥!!!!!..... 
• Фото: vk.com/fotiko#photo5023640",speech
3498,"#горит #зил
склад покрышек знатно коптит",neutral
2516,Больничка )))),neutral
17460,Тоже овном кипишь?)),skip
12217,"Братан, это просто пздц!",negative
4007,Спасибо за такую заю !!!!!,speech
19374,"Привет ребята , а как вы проводите время в три часа ночи ^^ я вот жду самолет 😎",skip
2323,у мну больше 130)))ахахахахах))),skip
503,"Подруга - это та, которая всегда рассмешит 🙃
Подруга - это та, которая когда смеется то и ты смеешься или наоборот 👑💍
Подруга - это та, которая тебе всегда рада 👯 
Подруга - это та, которая подхватит твою мысль 🚺💭
Подруга - это та, которая звонит тебе 📱
Подруга - это та, которую я люблю 💖❣",positive
7895,"Господа музыканты, я вас люблю!))))",positive
19865,Математики шутят.,neutral
5035,"Что думаешь?
Могу ссылку на текст дать",neutral
15359,"Привет! Я поклонник телепроекта Холостяк, я не сказал телешоу. Я искренне верю что это правда, выбирайте  Ирину-женственная, красивая, умная и добрая, смелая идеал женский! Олеся тоже достойна все качества у нее тоже есть!Но Ира у тебя шансов больше ты моложе, с тобой страсти больше.",positive
18387,спокойной ночи вам от крамоторских колорадцев ,speech
20556,Это только я могу сидеть вечером сама дома в темноте и смотреть ужастики?? :D,neutral
3703,"Тюнер, поздравляю с праздником)))",speech
16804,"Очень классные пижамки на 2,3,4,5,6,7 лет",neutral
2112,куплю легальные сайгу 410 короткую и мц-20-01,neutral
6730,УУУУУУРРРРРРАААААААААА!!!!!!!!!,positive
4003,От он красссава!!!,positive
8565,Спасибо Шахтеру за шапочку и шарфик,speech
18781,ой как красивоооооо....а где это ты?,positive
19421,Поздравляем Вас с месяцем ))))))))),speech
14513,"Стиснув до белизны кулаки,
Я не чувствую боли.
Я играю лишь главные роли — 
Пусть они не всегда велики,
Но зато в них всегда больше соли,
Больше желчи в них или тоски,
Прямоты или истинной воли — 
Они страшно подчас нелегки,
Но за них и награды поболе.",neutral
13238,го на пляж завтра или послезавтра?,neutral
911,"ХАХАХХАХАХАХА
СЕГОДНЯ ИДУ
И НАВСТРЕЧУ МНЕ МОЛОДАЯ МАТЬ И РЕБЕНОК, НА ВИД ЛЕТ 5, НЕ БОЛЬШЕ
И ОН В ШАПКЕ 228
f{f{{f{f{f{
XAXAXAXAA",positive
5376,"ВОТ ОНО СЧАСТЬЕ
ЧЛЕНОМРАЗИ АДЬЕ
ОНЛИ ТЯН +14",skip
2277,"Эх,Саша...",skip
20743,хочешь нарисую тебе попу? или писю?,neutral
16253,"Лучше на ринг с дьяволом,чем вновь влюбиться в ту которая однаждны предала!",negative
7662,Полюбив  слухай))))))),skip
2946,#марсикмайсуперфренд,skip
2943,Еще 2 месяца ..,skip
344,хочу гууууляяять *_*,positive
13435,Давай людям второй шанс ! Нам свойственно ошибаться ты сама это знаешь. Да и как не крути люди меняются =),neutral
8188,"Спасибо тебе, за всё ☺",speech
16919,мне ещё с евровидения этот трек нравится) а теперь он ещё и доставляет),positive
10726,"Да, пьяный Ельцин в Америке, до президентства, еще в 1989, это что-то... И мы сами после этого его выбрали! Сами! Вот что СМИ животворящие делают с мозгами! Причем в опросах люди в большинстве говорили, что на их мнение никто не влиял. Это было время, когда Первый канал принадлежал Березовскому, а НТВ - Гусинскому. Ну а теперь, после возвращения в руки государства, Эхо запустило мем, ""вы что, смотрите лживый Первый канал?"".",neutral
1290,"ужасно, когда привязываешься к человеку и, как больной, ждешь от него звонка или сообщения, а ему там и без тебя хорошо.",negative
44,переходи по ссылке и выбирай любую,neutral
4462,"Подруга.
Я не знаю как ты меня
терпишь.
Но спасибо тебе.",positive
16791,"Реальность данного мира, созданная волей Всевышнего, прекрасна всегда, а 

неприглядной или уродливой ее делает лишь призма нашего взгляда. Чем 

незамутненней взор, тем красивее мир. Видимо, поэтому дети улыбаются чаще 

взрослых. 


 Андрей Белянин ( , « Посрамитель 

шайтана ( »",neutral
17965,"пусть ""лунная походка"" давно уже не модная танцевальная фишка, зато это прекрасный способ съебать с какого-нибудь унылого мероприятия.",neutral
3616,Мисс-Доброта!!!,positive
5746,ДОЛБОЁЁЁЁЁЁЁЁЁЁЁЁЁБ,negative
15110,моя перепустка в общагу 4а,skip
18203,как тебе тема?,neutral
11155,они украли моего воргенчика!,neutral
8732,Андрей Бессмертный пред 1 у нас попрошайничество не приветствуеться!!!,skip
16483,#мойсладкийпупс#моясладость#мояжизнь❤️,positive
18114,Мурашки!Громкоко),positive
5034,Конгретулейшен🎉,speech
18138,Тоесть можно было смотреть??,neutral
12094,Мая любимая песня,positive
14019,"И дружим мы всего лишь год,
 Но многое прошли:
 Предательство,и дрались мы.
 На друг друга обижались
 Прощали и сслрились опять,
 Но понимаем мы,что жить без дружбы мы не сможем.
 Что вместе нам с тобою надо быть
 И на тренировке в паре каждый раз...
 И даже в ссору мы с тобой вместе,рядом!
 И поддержать тебя смогу я...
 Даже взглядом!!!
 И даже если ты меня пошлешь
 Я не уйду!
 Я буду вечно рядом!!!
 А ты в сердечке моём!!!!
 Витуся Я ТЕБЯ ЛЮБЛЮ ОЧЕНЬ ОЧЕНЬ!!!!:*",positive
