id,reason
1,Нет расхождения
5,Невнимательность
6,Нехватка контекста
14,Нехватка контекста
18,Маркеры и устойчивые формулы
23,Маркеры и устойчивые формулы
24,Нехватка контекста
25,Границы категории
29,Нехватка контекста
34,Нехватка контекста
38,Границы категории
43,Границы категории
44,Нехватка контекста
46,Нехватка контекста
47,Границы категории
49,Границы категории
50,Границы категории
51,Нехватка контекста
54,Маркеры и устойчивые формулы
55,Нехватка контекста
63,Нехватка контекста
64,Маркеры и устойчивые формулы
68,Нехватка контекста
69,Нехватка контекста
76,Маркеры и устойчивые формулы
77,Маркеры и устойчивые формулы
82,Границы категории
84,Нехватка контекста
89,Маркеры и устойчивые формулы
90,Границы категории
