id,text,drug,indication,adverse_reaction
2497493,"Эти таблетки рекомендовал педиатр для профилактики ребенку.
У меня двое детей как обычно заболевает один ребенок, следом другой.
Младший в 3 месяца переболел бронхитом, боюсь рецидива, стараюсь уберечь его всеми способами.
Вот решила это попробовать противовирусное средство.
В инструкции написано необходимо для профилактики давать по одной таблетки в день, но можно в комплексе давать с другими противовирусными средствами.
На вкус она не противная, ребенок его съедает спокойно не морщится.
Но продавав их 3 дня, сегодня 4 день ребенок проснулся с температурой и соплями.
Вывод: при профилактике бесполезен вообще.
Время использования: 3 дня",,профилактики | бронхитом | профилактике,температурой | соплями
644737,"В холодную пору года противовирусные препараты являются большой необходимостью.
Врачи выписывают только те, которые рекламируют.
Вот так к нам и попал спрей Назоферон.
Упаковочка такая маленькая, а стоит недешево.
После открытия он действителен только 10 дней.
За это времья ты не успееш использовать все лекарство.
Половину нужно просто выбросить.
Да и не помогает оно ничего.
Мой ребенок просто начал чихать, доктор выписал Назоферон.
Капали мы 3 дня по 5 раз на день, а уже на четвертый день у нас появилась температура и кашель.
И поменяли мы наше противовирусное лекарство на антибиотик.
Вот такой он, этот Назоферон.",Назоферон,чихать | температура | кашель,
2459114,"Как-то совсем расшаталась у меня нервная система, да и ВСД обострилась, беспокоила бессонница и врач мне выписал в качестве снотворного таблетки ""Беллатаминал"".
Это седативный препарат.
Активными компонентами Беллатаминала являются алкалоиды красавки, феноборбитал, эрготамин.
У препарата много противопоказаний и есть побочные эффекты.
Стоят таблетки недорого, два года назад покупала рублей за 100 30 таблеток.
Мне нужно было применять по 1 таблетки перед сном.
Мне таблетки не подошли, они затуманивают рассудок, вызывают заторможенность, но с моей бессонницей они не справились.
Есть более современные и эффективные средства в лечении бессонницы.
Время использования: 1 месяц",Беллатаминал | Беллатаминала | алкалоиды красавки | феноборбитал | эрготамин,расшаталась у меня нервная система | ВСД | бессонница | бессонницей | бессонницы,затуманивают рассудок | заторможенность
211588,"Принимала римантадин курсом по инструкции, после каждого приема чувствовала сильный приступ тошноты и затуманенность сознания, несколько раз думала в обморок упаду.
Часа через 2 после приема таблеток начинает болеть живот.
Менструальный цикл после приема римантадина сбивается (нет месячных).
Я девушка крепкая и подобных проблем никогда не испытывала с другими препаратами.
Так что будьте аккуратны.
У мужа побочных реакций на него нет.
Общее впечатление : побочных эффектов масса",римантадин | римантадина,,тошноты | затуманенность сознания | болеть живот | нет месячных
2710914,"Назначали ни раз ребенку это противовирусное лекарство.
Пила их и сама, так как при грудном вскармливании мало подходящих лекарств.
Эффекта если честно не вижу.
Да и вкус и запах очень противны.
Очень сильно пахнет спиртом.
А стоит не дешево.
Около 275 руб 20 мл.
флакон.",,,
2903297,"Если бы я не познакомилась с этим ""лекарством"" и всеми вытекающими последствиями, возможно и не узнала бы всю правду о нашей коррумпированной медицине.
Конкретно о лекарстве: после первой таблетки стало болеть сильно сердце( мне 27 лет), у мужа была диарея спустя четыре часа.
И мы оба абсолютно здоровы, решили просто для профилактики пить, к тому же у нас маленький ребенок, которого пичкали анафероном детским.
В общем, страдаем сами от незнания.
Так вот, самые популярные лекарства, разрешенные на территории России, не применяются в медицинской практике развитых стран.
(арбидол, виферон, амиксин, анаферон, и прочее г...) потому как бесполезны, а некоторые очень токсичны(индукторы интерферона Амиксин и лавомакс).
В мире существует два способа борьбы с гриппом А и В- вакцина, конечно же, и лекарства Реленза и Тамифлю.
А Россия продолжает пить арбидол...",анафероном детским | арбидол | виферон | амиксин | анаферон | интерферона | лавомакс | Реленза | Тамифлю,профилактики,болеть сильно сердце | диарея
826379,"Когда моему сыну было 1.5 месяца мы первый раз заболели.
Было красное горло, и температура.
Врач выписала от горла Тонзилгон.
Честно не понимаю, зачем таким маленьким детишкам выписывают капли на основе спирта.
Но мы решили попробовать.
Начали давать.
горло стало проходить, но через два дня лицо сына покрылось сыпью, а позже коркой.
Видимо какая то трава вызвала аллергию.
Капли на основе трав.
Вообще мой ребенок не склонен к аллергии.
И сейчас нам уже 7 месяцев, аллергии ни на что нет.
Пришлось лечение сразу отменить.
Потом аллергию лечили еще неделю.
В общем лекарство хорошее, теперь пользуемся им мы с мужем., но аллергикам не советую.
Время использования: 2 дня Общее впечатление : Вызвал алергию RATING 4 NOTE",Тонзилгон,красное горло | температура | аллергию,"лицо сына покрылось сыпью, а позже коркой | аллергию | алергию"
591673,"С противовирусными свечками Кипферон знаком давно, первый раз столкнулись с ними когда у жены был воспалительный процесс, очень дорогие по стоимости, но врач рекомендовал как найлучший препарат.
Жене помогло, воспаление было связано с гинекологией.
А вот буквально несколько дней назад ребенок приболел и при осмотре врачей поставили диагноз-бронхит.
Начали пугать, что чють ли не пневмония и все остальное и прописали лечение.
В списке были также и свечи Кипферон, стоят просто сумашедше дорого, приобрести проблем нет, в аптеках препарат свободно в продаже.
Результат препарата для лечения ребенка было б выявить сложно, так как в комплексе принимали много других средств.
Поэтому в этом случае положительного эффекта я не наблюдал.
Есть и недостаток, свечи стоят очень дорого, а качество плохое, при вскрытии упаковки свечи ломаются, просто-напросто крошатся, 50% с упаковки пропадает.
Общее впечатление : Результат хороший при комплексном лечении.",Кипферон,воспалительный процесс | воспаление | бронхит,
824400,"В упаковке яркой красочной рассцветки две пачки по 9 таблеток для рассасывания от боли в горле и нструкция.
На вкус мятные конфетки, коих много продается в отделах с жевачкой, растворяются достаточно быстро.
Как лекарству от боли в горле не хватает немного обволакивающего свойства, как только конфетка растворяется, лечебное действие практически сразу проходит, однако как средство для снятия несильной боли, могу смело рекомендовать, в составе антибиотики и анестетик, благодаря которому боль действительно спадает.
Для более сильных случаев заболеваний все таки рекомендую поискать средство посерьезнее.
Общее впечатление : при сильной боли не будет эффективно RATING 4 NOTE",,боли в горле | боли | боль,
1326637,"Перепробовав много всевозможных снотворных, оставался только этот препарат неиспробованный.
Впечатлений много и все за ночь, происходили после приема да хочется спать, как написано в инструкции через 30 -40 минут, потом начинаются кошмары.
Чувство что ты проваливаешся куда то от этого становится страшно начинаешь бороться с этим часика два.
Потом устав от этого начинается чувство какой то паники, мурашки по всему телу и дикое сердцебиение от чего еще страшней становится, и так до самого почти утра, утром отпускает часиков в пять, и в шесть встаешь ровно поспав один час, снотворное просто супер никогда такого еще не испытывала от таблеток, и потом целый день ходиш как в тумане заторможенный.
Общее впечатление : ужасный препарат",,спать,кошмары | страшно | чувство какой то паники | мурашки по всему телу | сердцебиение | страшней | ходиш как в тумане | заторможенный
