category,mode,id,split,type,question,gold_answer,gold_evidence,bm25_top5,full_answer,full_evidence,bm25_answer,bm25_evidence,context
llm,bm25,q004,test,город филиала по руководителю,"В каком городе работает филиал ботанического сада «Голубая лагуна», которым руководит Марина Мельникова?",Гранитогорск,"[30, 34]","[34, 30, 36, 29, 18]",Гранитогорск,"[34, 30]",,[],[30] В 2008 году в Гранитогорске начал работу речной филиал ботанического сада «Голубая лагуна». Рядом со зданием находится остановка общественного транспорта. | [34] Марина Мельникова руководит речным филиалом ботанического сада «Голубая лагуна». Штатное расписание утверждается в начале каждого года.
answerable,bm25,q004,test,город филиала по руководителю,"В каком городе работает филиал ботанического сада «Голубая лагуна», которым руководит Марина Мельникова?",Гранитогорск,"[30, 34]","[34, 30, 36, 29, 18]",Гранитогорск,"[34, 30]",,[],[30] В 2008 году в Гранитогорске начал работу речной филиал ботанического сада «Голубая лагуна». Рядом со зданием находится остановка общественного транспорта. | [34] Марина Мельникова руководит речным филиалом ботанического сада «Голубая лагуна». Штатное расписание утверждается в начале каждого года.
llm,full,q006,test,руководитель в год события,Кто руководил фабрикой «Белый парус» в год переезда в новое здание?,Николай Родионов,"[6, 7]","[7, 4, 6, 2, 23]",,[],Николай Родионов,[6],"[6] С 2007 года фабрикой «Белый парус» руководит Николай Родионов. До назначения он много лет работал в других организациях Липоборска. Многие сотрудники работают здесь больше двадцати лет. | [7] До 2015 года фабрика «Белый парус» занимала старое здание на улице Луговой, после чего переехала в новое."
answerable,full,q006,test,руководитель в год события,Кто руководил фабрикой «Белый парус» в год переезда в новое здание?,Николай Родионов,"[6, 7]","[7, 4, 6, 2, 23]",,[],Николай Родионов,[6],"[6] С 2007 года фабрикой «Белый парус» руководит Николай Родионов. До назначения он много лет работал в других организациях Липоборска. Многие сотрудники работают здесь больше двадцати лет. | [7] До 2015 года фабрика «Белый парус» занимала старое здание на улице Луговой, после чего переехала в новое."
retrieval,bm25,q007,train,руководитель в год события,"Кто был директором киностудии «Хрустальный родник», когда она переехала на улицу Школьную?",Вера Белова,"[7, 14]","[14, 8, 23, 1, 12]",,"[14, 19, 20]",,[],"[7] Вера Белова возглавляла киностудию с 1980 по 1985 год. В коридорах висят портреты людей, которые руководили коллективом в разные годы."
llm,full,q007,train,руководитель в год события,"Кто был директором киностудии «Хрустальный родник», когда она переехала на улицу Школьную?",Вера Белова,"[7, 14]","[14, 8, 23, 1, 12]",,"[14, 19, 20]",,[],"[7] Вера Белова возглавляла киностудию с 1980 по 1985 год. В коридорах висят портреты людей, которые руководили коллективом в разные годы. | [14] До 1984 года киностудия «Хрустальный родник» занимала старое здание на улице Березовой, после чего переехала в новое. Директор ежегодно отчитывается о работе перед советом попечителей."
answerable,full,q007,train,руководитель в год события,"Кто был директором киностудии «Хрустальный родник», когда она переехала на улицу Школьную?",Вера Белова,"[7, 14]","[14, 8, 23, 1, 12]",,"[14, 19, 20]",,[],"[7] Вера Белова возглавляла киностудию с 1980 по 1985 год. В коридорах висят портреты людей, которые руководили коллективом в разные годы. | [14] До 1984 года киностудия «Хрустальный родник» занимала старое здание на улице Березовой, после чего переехала в новое. Директор ежегодно отчитывается о работе перед советом попечителей."
answerable,bm25,q007,train,руководитель в год события,"Кто был директором киностудии «Хрустальный родник», когда она переехала на улицу Школьную?",Вера Белова,"[7, 14]","[14, 8, 23, 1, 12]",,"[14, 19, 20]",,[],"[7] Вера Белова возглавляла киностудию с 1980 по 1985 год. В коридорах висят портреты людей, которые руководили коллективом в разные годы. | [14] До 1984 года киностудия «Хрустальный родник» занимала старое здание на улице Березовой, после чего переехала в новое. Директор ежегодно отчитывается о работе перед советом попечителей."
llm,bm25,q009,train,город филиала,В каком городе находится лесной филиал музея «Лунный свет»?,Светлоярск,[17],"[17, 21, 15, 11, 6]",Светлоярск,[17],,[],[17] Лесной филиал музея «Лунный свет» открылся в 1995 году в Светлоярске.
answerable,bm25,q009,train,город филиала,В каком городе находится лесной филиал музея «Лунный свет»?,Светлоярск,[17],"[17, 21, 15, 11, 6]",Светлоярск,[17],,[],[17] Лесной филиал музея «Лунный свет» открылся в 1995 году в Светлоярске.
