id,phenomenon,text,label,note
s001,negation,Не могу не радоваться: закрыл сессию без единой тройки и без пересдач!,positive,двойное отрицание выражает радость
s002,negation,"Шел на этот фильм без особых надежд, а он совсем не плохой. Ни секунды не пожалел",positive,отрицание при негативных словах дает положительную оценку
s003,negation,"Новый тренер ни разу не опоздал, ни одного занятия не отменил, никаких претензий к нему нет",positive,отсутствие претензий означает довольство тренером
s004,negation,"Не скажу, что я фанат суши, но тут невозможно удержаться и не взять добавку)",positive,невозможно не взять добавку значит очень вкусно
s005,negation,"Боялась, что в Карелии будет скучно и холодно, но нет, ни капли не скучала и ни о чем не жалею",positive,"опасения не подтвердились, поездка понравилась"
s006,negation,"Бабушкины пирожки невкусными не бывают в принципе, не спорьте",positive,"двойное отрицание означает, что пирожки всегда вкусные"
s007,negation,"Нельзя сказать, что концерт не удался, наоборот, давно так не отрывался",positive,отрицание неудачи и прямое наоборот дают восторг
s008,negation,"Ничего хорошего от этого ремонта не ждал, и не зря: половину придется переделывать",negative,ничего хорошего подтвердилось плохим результатом
s009,negation,"Не сказал бы, что понравилось. Хваленый стейк-хаус, а мясо жесткое, как подошва",negative,отрицание понравилось и жалоба на мясо
s010,negation,"Никакой радости от новой работы: ни интересных задач, ни нормальной зарплаты, ни адекватного начальства",negative,позитивные слова стоят под отрицанием
s011,negation,"Удачной покупкой этот телефон точно не назовешь, от красивых обещаний из рекламы ничего не осталось",negative,автор разочарован покупкой
s012,negation,"Не то чтобы я ждал шедевра, но настолько бездарного сериала давно не видел",negative,"шедевр под отрицанием, итог резко отрицательный"
s013,negation,"Не знаю, какой ноутбук взять для учебы, не подскажете? Бюджет до 60 тысяч",neutral,просьба о совете без оценки
s014,negation,"Завтра электрички до Подольска не ходят, ремонт путей. Имейте в виду",neutral,информационное объявление
s015,negation,"Ничего не могу сказать про этот фитнес-клуб, ни разу там не был. Кто ходил, как там?",neutral,"автор прямо говорит, что оценки у него нет"
s016,negation,"Не забудьте, родительское собрание перенесли на четверг, а не на среду",neutral,напоминание без эмоциональной оценки
s017,negation,"Ни хорошо, ни плохо, обычный рабочий понедельник, ничего особенного",neutral,"автор явно отрицает и хорошее, и плохое"
s018,negation,"Библиотека в субботу не работает, так что книги можно сдать только до пятницы",neutral,справочная информация
s019,negation,"Кто-нибудь знает, не отменили ли концерт в филармонии из-за снегопада? Нигде не могу найти информацию",neutral,вопрос без оценки
s020,negation,"Я не против поехать на дачу в выходные, но и не особо рвусь, как решите, так и сделаем",neutral,автор равнодушен к поездке
s021,typos,"ваще нереальна крутой концерт был, до сих пор в ушах звинит)))",positive,восторг от концерта при искаженном написании
s022,typos,"ниче так пицерия, тесто тонкое, начинки многа, рикамендую",positive,ниче так и рекомендация означают одобрение
s023,typos,"с ума сайти какие тут чебуреки, чуть язык не праглатил",positive,разговорное выражение восхищения едой
s024,typos,"отличьный мастер, починил стиралку за пол часа и взял не дорага",positive,похвала мастеру с опечатками
s025,typos,"шикарнаая погодка сегодня, гуляли с малым до вечира 🌞",positive,радость от хорошей погоды
s026,typos,"не ожидал што в этой столовке так нармально кормят, прям как дома",positive,приятное удивление едой
s027,typos,"кароче сдал на права с первого раза!!! я в шоке, щастье",positive,"радость от сдачи экзамена, шок тут положительный"
s028,typos,"ужастный сервиз в этом салоне связи, прождал час и ниче не решили",negative,жалоба на обслуживание с опечатками
s029,typos,"атстой а не маршрутка, вадитель гонит как бишеный, чуть не убились",negative,возмущение ездой водителя
s030,typos,"купила куртку а ана через неделю по швам разашлась, деньги на ветир, больше в этот магаз ни ногой",negative,разочарование покупкой
s031,typos,"весь день болит галава, так еще и на работу вызвали в выходной, бесит((",negative,раздражение и плохое самочувствие
s032,typos,"думал будет класна, а в итоге полный облом, зря паехали на эту турбазу",negative,ожидание класса не оправдалось
s033,typos,кто седня идет на пары по матану? скиньте плиз расписание,neutral,бытовой вопрос без оценки
s034,typos,"продаю велик, покатался два сизона, все вопросы в лс",neutral,объявление о продаже
s035,typos,"завтра в 9 утра собираемся у падъезда, не апаздывайте",neutral,организационное сообщение
s036,typos,"подскажите где в центре можно распичатать доки, желательна недорага",neutral,просьба о подсказке
s037,typos,"мы уже в аэрапорту, вылет в 14:30 по маскве",neutral,сообщение о статусе поездки
s038,typos,ктонибудь знает во скока сегодня матч наших? и по какому каналу,neutral,вопрос о расписании матча
s039,typos,"мама прасила купить хлеба и малака, щас забегу в пятерочку",neutral,бытовое сообщение без эмоций
s040,typos,"на выхадные абещают пириминую облачность и +15, если че",neutral,пересказ прогноза погоды
s041,irony,"Обожаю наше ЖКХ: третий день без горячей воды, зато квитанция пришла минута в минуту. Спасибо огромное!",negative,обожаю и спасибо сказаны с сарказмом
s042,irony,"Отличная доставка, пиццу ждали всего-то три часа, и приехала она холодной. Браво, так держать",negative,"похвала саркастична, сервис плохой"
s043,irony,"Спасибо нашей железной дороге за незабываемые шесть часов в тамбуре, лучшее начало отпуска)))",negative,"благодарность ироничная, поездка ужасная"
s044,irony,"Прекрасное июльское утро: +9, ливень и ветер. Самое то для пляжа, лето удалось на славу",negative,сарказм по поводу холодного лета
s045,irony,Гениальное решение деканата поставить экзамен на 2 января в 8 утра. Вот это забота о студентах,negative,гениальное и забота употреблены с иронией
s046,irony,"Новый смартфон просто чудо: за неделю трижды перезагрузился сам и держит заряд аж до обеда. Мечта, а не техника",negative,чудо и мечта иронично описывают брак
s047,irony,Какой чуткий у нас начальник: опять задержал зарплату и похвалил всех за терпение. Очень мотивирует 🙄,negative,сарказм в адрес начальника
s048,irony,"Шикарный фильм, особенно понравилось, как я уснул на двадцатой минуте и проснулся на титрах. Лучший сон за 500 рублей",negative,"фильм скучный, похвала ироничная"
s049,irony,"Вот это я понимаю футбол! Девяносто минут катали мяч поперек поля и проиграли 0:4. Горжусь, ребята",negative,горжусь сказано с сарказмом после разгрома
s050,irony,"Какая удача: урвал кроссовки на распродаже, а через день у них отклеилась подошва. Экономия века",negative,"удача и экономия ироничны, покупка неудачная"
s051,irony,"Люблю, когда в маршрутке шансон на полную и водитель одной рукой рулит, а другой болтает по телефону. Такая уютная атмосфера",negative,люблю и уютная выражают раздражение
s052,irony,"Ну спасибо, дорогой провайдер, интернет пропал ровно за пять минут до сдачи курсовой. На вас всегда можно положиться",negative,благодарность и доверие саркастичны
s053,irony,"Ужасная трагедия: наелся маминых пирогов так, что не могу встать. Худший вечер в моей жизни)))",positive,"самоирония, на деле вечер отличный"
s054,irony,"Кошмар, меня опять вынудили две недели валяться на море и ничего не делать. Бедный я, бедный)",positive,"жалоба шутливая, автор доволен отдыхом"
s055,irony,"Ненавижу создателей этого сериала: сняли так, что я не спал до четырех утра и проглотил весь сезон. Как так можно)))",positive,"ненавижу в шутку, сериал очень понравился"
s056,irony,"Какой ужас, сдал сессию на одни пятерки, теперь даже пожаловаться не на что))",positive,притворная жалоба на отличный результат
s057,irony,"Страшное дело: дочка сама помыла посуду и сказала, что я лучшая мама. Не знаю, как теперь с этим жить)))",positive,"страшное дело в шутку, автор растрогана"
s058,irony,"Сенсация века: пары в понедельник, как и последние три года, начинаются в 8:30. Просто напоминаю старостам",neutral,ироничная подача обычного напоминания
s059,irony,"Срочные новости: завтра, внезапно, четверг. Кто идет на квиз, собираемся у входа в 18:00",neutral,"шутливая форма, суть в объявлении"
s060,irony,"Шок, сенсация: оказывается, почта в субботу тоже работает, до 15:00. Кому надо отправить посылку, имейте в виду",neutral,"ирония над очевидным, по сути справка"
s061,quote,"Все пишут, что новый фильм провал и смотреть невозможно, а мне прям зашло. Сходите и решите сами",positive,"чужая оценка отрицательная, автору понравилось"
s062,quote,"Подруга сказала: этот ресторан переоценен и дорогой. Сходила сама, ничего подобного, лучший ужин за год",positive,автор опровергает негативный отзыв подруги
s063,quote,"В отзывах одни жалобы на эту клинику, а меня приняли без очереди и вылечили зуб без боли. Не слушайте их",positive,автор доволен вопреки чужим жалобам
s064,quote,"Муж ворчал, что в Казани делать нечего и будет скука смертная. Теперь сам просится туда обратно)))",positive,"мнение мужа опровергнуто, поездка удалась"
s065,quote,"Препод на первой паре заявил: вы слабый поток, у вас ничего не выйдет. А мы сдали всем курсом, выкуси)",positive,"автор радуется, опровергая слова преподавателя"
s066,quote,"Коллеги ныли, что новая CRM ужасная, медленная и глючная. Неделю в ней работаю и ни разу не пожалел",positive,позиция автора противоположна жалобам коллег
s067,quote,"Критики разнесли альбом в пух и прах, мол, скучно и вторично. А я его третий день слушаю по кругу",positive,автор слушает альбом с удовольствием вопреки критикам
s068,quote,"Все пишут, что фильм шедевр и лучший за десятилетие. Я честно досидел до конца и так и не понял, чем тут восхищаться",negative,"похвала чужая, автор разочарован"
s069,quote,"Продавец клялся: отличный пылесос, прослужит сто лет. Сломался через месяц",negative,слова продавца опровергнуты поломкой
s070,quote,"Блогеры в один голос: лучшая шаурма в городе, обязательно попробуйте. Попробовал, теперь второй день лечу желудок",negative,"восторги блогеров, у автора отравление"
s071,quote,"Турагент уверял, что отель пять звезд, море в двух шагах и шикарный сервис. По факту обшарпанный номер и до пляжа полчаса пешком",negative,обещания турагента не совпали с реальностью
s072,quote,"Мама твердит, что эта школа лучшая в районе и учителя прекрасные. Ребенок там полгода и плачет каждое утро((",negative,"чужая похвала, автор переживает за ребенка"
