id,text,A_r1,B_r1,C_r1,A_r2,B_r2,C_r2,disagreement,entropy,doubts,A_r1_comment,B_r1_comment,C_r1_comment,reason,after_instruction
1,"Прочитал эту книгу за один вечер, не мог оторваться.",0,0,0,0,0,0,0.0,0.0,0,,,,Нет расхождения,согласие
5,"Замечательно, что вы наконец пришли, мы как раз заканчиваем.",1,1,0,1,1,1,2.0,0.918,0,,,,Невнимательность,устранено
6,"Сын сказал, что уроки сделал. Верю, как себе.",?,1,1,0,0,1,1.0,0.918,2,"можно прочесть и как доверие, и как насмешку над сыном","Может быть доверие или сомнение, трудно понять наверняка",,Нехватка контекста,осталось
14,"Мама сказала, что суп получился отличный. Мама никогда не врет.",?,1,1,0,0,1,1.0,0.918,2,"похвала себе или насмешка над маминой вежливостью, опоры нет",Мама никогда не врет может быть искренне или иронично,,Нехватка контекста,осталось
18,"Это не баг, это фича.",1,1,1,1,1,1,0.0,0.0,1,"устойчивый мем, возможна и буквальная реплика разработчика",,,Маркеры и устойчивые формулы,согласие
23,"Вот уж действительно, умные люди придумали эту реформу.",1,1,1,?,0,1,0.0,0.0,1,,"Похоже на сарказм, но не уверен полностью",,Маркеры и устойчивые формулы,появилось
24,"Спасибо за совет, обязательно учту.",?,?,0,?,?,?,1.0,0.918,2,может быть искренней благодарностью или вежливым отказом,"Нет контекста, штамп вежливости или скрытая ирония",,Нехватка контекста,устранено
25,Опять эти эксперты по всему на свете в комментариях.,1,1,0,1,1,1,2.0,0.918,1,ирония только в слове эксперты при прямом недовольстве,,,Границы категории,устранено
29,"Ну, зато весело было.",?,?,0,?,?,?,1.0,0.918,2,"утешение после неудачи, искреннее или ироничное, неясно","Непонятно, к чему относится фраза, мало контекста",,Нехватка контекста,устранено
34,"Какой ты у меня умный, все знаешь.",?,1,1,?,?,?,1.0,0.918,2,"без адресата и ситуации не понять, похвала или насмешка",Может быть искренняя похвала ребенку или ирония над ним,,Нехватка контекста,устранено
38,"Интересно, а кто-нибудь вообще читает эти отчеты?",0,1,1,0,0,0,2.0,0.918,2,"риторический вопрос, скепсис без переворота смысла","Риторический вопрос, похож на скептический сарказм",,Границы категории,устранено
43,"Оставила бы отличный отзыв, если бы товар хоть раз включился.",1,1,1,0,1,1,0.0,0.0,1,"сарказм через условие, буквальный смысл формально верен",,,Границы категории,появилось
44,"Прекрасно, просто прекрасно.",?,1,1,?,?,?,1.0,0.918,2,нет контекста: может быть и восторг и досада,Повтор похож на типичный ироничный сарказм,,Нехватка контекста,устранено
46,"Спасибо, что пришли, без вас мы бы не справились.",0,0,0,0,0,?,0.0,0.0,1,возможна ирония как в 5 но опоры в тексте нет,,,Нехватка контекста,появилось
47,"Ну конечно, кто же еще мог забыть ключи, как не я.",1,1,1,1,0,1,0.0,0.0,1,"самоирония с маркером ну конечно, смысл перевернут слабо",,,Границы категории,появилось
49,"Встреча, которая могла быть письмом, продлилась два часа.",0,1,1,0,0,0,2.0,0.918,1,"насмешка над встречами, но без иронического переворота",,,Границы категории,устранено
50,"Провайдер обещал скорость до 100 мегабит. Ключевое слово ""до"".",0,1,1,0,0,1,2.0,0.918,1,"едкое замечание, но прямая критика без переворота смысла",,,Границы категории,осталось
51,"Приятно, когда в поликлинике тебя принимают ровно в назначенное время.",?,0,0,0,0,?,1.0,0.918,2,"может быть искренней радостью или намеком, что так не бывает",Может быть искренняя благодарность или намек на редкость,,Нехватка контекста,осталось
54,Погода прямо шепчет: возьми отпуск.,0,0,0,0,0,0,0.0,0.0,1,"идиома, читаю как буквально хорошую погоду",,,Маркеры и устойчивые формулы,согласие
55,Отличная погода сегодня.,0,0,0,?,0,?,0.0,0.0,1,без опоры для иронии читаю буквально,,,Нехватка контекста,появилось
63,Какой тонкий юмор у нашего преподавателя.,?,1,0,?,?,?,2.0,1.585,2,нельзя понять хвалит или насмехается,Может быть искренняя похвала или сарказм про юмор преподавателя,,Нехватка контекста,устранено
64,"Статья называется ""Как полюбить понедельник"", советую, там правда полезные советы.",0,0,0,0,0,0,0.0,0.0,1,"название провоцирует, но слово правда говорит об искренности",,,Маркеры и устойчивые формулы,согласие
68,"Спасибо, очень помогли.",?,0,0,?,?,?,1.0,0.918,1,"типичная ироничная формула, но может быть искренней",,,Нехватка контекста,устранено
69,"Очень полезная встреча, узнал много нового о планах компании.",0,0,0,0,0,0,0.0,0.0,1,"возможна ирония, но деталь про планы компании за буквальное прочтение",,,Нехватка контекста,согласие
76,"Этот политик, как всегда, заботится исключительно о народе.",1,1,1,?,0,1,0.0,0.0,1,"опора на маркеры как всегда и исключительно, фактов нет",,,Маркеры и устойчивые формулы,появилось
77,"Ну, как говорится, хотели как лучше.",?,1,1,0,1,1,1.0,0.918,1,"намек на плохой итог, может быть сожалением, а не иронией",,,Маркеры и устойчивые формулы,осталось
82,Цены на бензин снова снизились. Шутка.,1,1,1,1,1,1,0.0,0.0,1,"сказано противоположное, но ирония раскрыта словом шутка",,,Границы категории,согласие
84,Ну ты и гений.,?,1,1,?,?,?,1.0,0.918,2,"может быть восхищением, может быть насмешкой","Ну ты и намекает на иронию, но может быть искренне",,Нехватка контекста,устранено
89,"Молодец, возьми с полки пирожок.",1,1,0,1,1,?,2.0,0.918,1,"устойчивая формула, обычно насмешливая",,,Маркеры и устойчивые формулы,осталось
90,"Дорогой дневник, сегодня я опять ничего не успел.",0,0,1,0,0,0,2.0,0.918,1,"шутливая рамка, но смысл буквальный",,,Границы категории,устранено
