id,text,A_r1,B_r1,C_r1,disputed,A_r2,B_r2,C_r2
1,"Прочитал эту книгу за один вечер, не мог оторваться.",0,0,0,1,0,0,0
2,"Да, конечно, я обязательно прочитаю пользовательское соглашение целиком.",1,1,1,0,,,
3,Отпуск удался: неделю пролежал с температурой в отеле с видом на парковку.,1,1,1,0,,,
4,"Спасибо за быструю доставку, заказ пришел на следующий день, все целое.",0,0,0,0,,,
5,"Замечательно, что вы наконец пришли, мы как раз заканчиваем.",1,1,0,1,1,1,1
6,"Сын сказал, что уроки сделал. Верю, как себе.",?,1,1,1,0,0,1
7,Гениальное решение: закрыть единственный вход в метро на ремонт в час пик.,1,1,1,0,,,
8,"Вы так быстро отвечаете на письма, я даже успел состариться.",1,1,1,0,,,
9,"Ага, щас. Уже бегу.",1,1,1,0,,,
10,Новая версия приложения работает быстрее и потребляет меньше памяти.,0,0,0,0,,,
11,Автобус пришел по расписанию. Запишу этот день в календарь.,1,1,1,0,,,
12,"Конечно, дорогая, я совсем не устал после двенадцатичасовой смены.",1,1,1,0,,,
13,"Лучший день в моей жизни: сломалась машина, потерял телефон и промок.",1,1,1,0,,,
14,"Мама сказала, что суп получился отличный. Мама никогда не врет.",?,1,1,1,0,0,1
15,Прочитал эту книгу за один вечер. Засыпал всего четыре раза.,1,1,1,0,,,
16,"Наконец-то снег! Дети счастливы, лепим снеговика.",0,0,0,0,,,
17,"Порции в ресторане такие щедрые, что по дороге домой пришлось заехать за шаурмой.",1,1,1,0,,,
18,"Это не баг, это фича.",1,1,1,1,1,1,1
19,Врач сказал больше гулять. Гуляю от холодильника до дивана.,1,1,1,0,,,
20,Наконец-то снег. В мае.,1,1,1,0,,,
21,Жду не дождусь концерта любимой группы в субботу!,0,0,0,0,,,
22,"Инструкция написана так понятно, что пришлось вызывать мастера.",1,1,1,0,,,
23,"Вот уж действительно, умные люди придумали эту реформу.",1,1,1,1,?,0,1
24,"Спасибо за совет, обязательно учту.",?,?,0,1,?,?,?
25,Опять эти эксперты по всему на свете в комментариях.,1,1,0,1,1,1,1
26,"Ремонт дороги у нашего дома идет уже четвертый год. Видимо, строят на века.",1,1,1,0,,,
27,"Спасибо, капитан Очевидность.",1,1,1,0,,,
28,"Смотрю на свою зарплату и понимаю, что счастье не в деньгах.",1,1,1,0,,,
29,"Ну, зато весело было.",?,?,0,1,?,?,?
30,"В субботу идем в поход, кто с нами?",0,0,0,0,,,
31,"Хороший ресторан, но порции маленькие.",0,0,0,0,,,
32,"Вот это сервис! Официант принес счет раньше, чем меню.",1,1,1,0,,,
33,"Презентация прошла хорошо, заказчик одобрил макет.",0,0,0,0,,,
34,"Какой ты у меня умный, все знаешь.",?,1,1,1,?,?,?
35,"Автобус пришел по расписанию, доехал без проблем.",0,0,0,0,,,
36,Супер. Теперь еще и дождь.,1,1,1,0,,,
37,"Спасибо, что предупредили об отключении воды заранее. За целых пять минут.",1,1,1,0,,,
38,"Интересно, а кто-нибудь вообще читает эти отчеты?",0,1,1,1,0,0,0
39,"Поезд задерживается на 40 минут, приносим извинения.",0,0,0,0,,,
40,Банк заботливо напомнил мне о кредите в три часа ночи. Очень чутко.,1,1,1,0,,,
41,"Тем, кто оставляет мусор на лестнице: спасибо, нам очень не хватало этого аромата.",1,1,1,0,,,
42,Лучший день в моей жизни: сегодня родилась дочь.,0,0,0,0,,,
43,"Оставила бы отличный отзыв, если бы товар хоть раз включился.",1,1,1,1,0,1,1
44,"Прекрасно, просто прекрасно.",?,1,1,1,?,?,?
45,"Мне очень повезло с соседями по общежитию, мы дружим до сих пор.",0,0,0,0,,,
46,"Спасибо, что пришли, без вас мы бы не справились.",0,0,0,1,0,0,?
47,"Ну конечно, кто же еще мог забыть ключи, как не я.",1,1,1,1,1,0,1
48,"Этот фильм точно не для всех, но мне понравился.",0,0,0,0,,,
49,"Встреча, которая могла быть письмом, продлилась два часа.",0,1,1,1,0,0,0
50,"Провайдер обещал скорость до 100 мегабит. Ключевое слово ""до"".",0,1,1,1,0,0,1
51,"Приятно, когда в поликлинике тебя принимают ровно в назначенное время.",?,0,0,1,0,0,?
52,"Кажется, я простыл. Весь день пью чай с медом.",0,0,0,0,,,
53,Сосед снова решил сделать нам утро добрым с помощью перфоратора.,1,1,1,0,,,
54,Погода прямо шепчет: возьми отпуск.,0,0,0,1,0,0,0
55,Отличная погода сегодня.,0,0,0,1,?,0,?
56,"Твой проект, конечно, самый важный в мире.",1,1,1,0,,,
57,Жду не дождусь очередного созвона в пятницу вечером.,1,1,1,0,,,
58,Выиграл в лотерею сто рублей. Теперь можно и на пенсию.,1,1,1,0,,,
59,"Сдал сессию на все пятерки, сам в шоке.",0,0,0,0,,,
60,Мы с друзьями выиграли школьную олимпиаду по физике!,0,0,0,0,,,
61,Купил абонемент в спортзал. Хожу туда платить.,1,1,1,0,,,
62,Обновление системы на рабочем ноутбуке началось прямо перед дедлайном. Как удобно.,1,1,1,0,,,
63,Какой тонкий юмор у нашего преподавателя.,?,1,0,1,?,?,?
64,"Статья называется ""Как полюбить понедельник"", советую, там правда полезные советы.",0,0,0,1,0,0,0
65,"Отличная работа, курьер. Посылка пришла всего через три недели и всего лишь в мокрой коробке.",1,1,1,0,,,
66,"Инструкция написана понятно, собрал стол за полчаса.",0,0,0,0,,,
67,"Преподаватель сказал, что экзамен будет легким. Все, кто сдавал в прошлом году, почему-то смеются.",1,1,1,0,,,
68,"Спасибо, очень помогли.",?,0,0,1,?,?,?
69,"Очень полезная встреча, узнал много нового о планах компании.",0,0,0,1,0,0,0
70,"Завтра контрольная по матанализу, пожелайте удачи.",0,0,0,0,,,
71,"Высокая культура вождения в нашем городе: поворотники, видимо, продаются отдельно.",1,1,1,0,,,
72,У нас в офисе новая традиция: кондиционер ломается в самую жару.,1,1,1,0,,,
73,"Уважаемые жильцы, просьба не оставлять мусор на лестничной площадке.",0,0,0,0,,,
74,Какой замечательный сервис: трубку взяли с двадцатой попытки.,1,1,1,0,,,
75,"Сегодня впервые приготовил борщ, вроде съедобно.",0,0,0,0,,,
76,"Этот политик, как всегда, заботится исключительно о народе.",1,1,1,1,?,0,1
77,"Ну, как говорится, хотели как лучше.",?,1,1,1,0,1,1
78,Обожаю понедельники. Особенно когда в восемь утра звонит начальник.,1,1,1,0,,,
79,В магазине у дома снова подорожал хлеб.,0,0,0,0,,,
80,"Сайт госуслуг сегодня работает быстро, записался к врачу за пару минут.",0,0,0,0,,,
81,"Лекция перенесена на среду, аудитория 305.",0,0,0,0,,,
82,Цены на бензин снова снизились. Шутка.,1,1,1,1,1,1,1
83,"Кот опять спит на клавиатуре, работа встала.",0,0,0,0,,,
84,Ну ты и гений.,?,1,1,1,?,?,?
85,"Ребята, спасибо всем за поздравления, очень приятно!",0,0,0,0,,,
86,"Чиновник заявил, что зарплаты в регионе выросли. Цены, видимо, тоже решили не отставать.",1,1,1,0,,,
87,"Мне очень повезло с соседями: один играет на барабанах, другой учится на них играть.",1,1,1,0,,,
88,"Сегодня в Москве до плюс двадцати пяти, осадков не ожидается.",0,0,0,0,,,
89,"Молодец, возьми с полки пирожок.",1,1,0,1,1,1,?
90,"Дорогой дневник, сегодня я опять ничего не успел.",0,0,1,1,0,0,0
