id,positive_effect,comment
2497493,,
644737,,
2459114,,
211588,,
2710914,,
2903297,,
826379,горло стало проходить,
591673,Жене помогло,"засчитано у жены, у ребенка эффект автор не наблюдал"
824400,боль действительно спадает,"похоже на свойство препарата, но это вывод из опыта автора"
1326637,,"сонливость была, но сон не наладился, снотворное супер это сарказм"
2403676,,валерьянка действеннее это сравнение без описания самого улучшения
5801040,на третий день у меня все проходило | помогает всегда,
6993980,Помогают хорошо,"краткое помогают хорошо, автор сама принимала при болезни"
2410110,,
2424525,,
267729,,
2439706,"помог снять нервное напряжение, немного успокоится","сказала бы это оборот речи, у самого автора эффект был"
815444,,
6275749,продавала 10 дней и все прошло | больше пока не болеем,
817386,,
5801796,стала заметно меньше болеть | дочка не заболела,
2673885,принимали антибиотик 5 дней и все прошло,"эффект от антибиотика, а не от ликопида, о котором отзыв"
822853,,
884467,,"эффект у семьи сестры, автор их не лечит"
810713,,
3188437,,
2702457,Аминазин помогал | хорошо справляется с бессонницей,
2703065,,"Ринза снимает симптомы сказано обобщенно, прием в отзыве не описан"
2513399,"помогала мне справляться эмоциями | успокаивает не только нервы, но и желудочно-кишечный тракт","автор допускает самовнушение, но улучшение описывает как реальное"
828556,стало полегче,"временное облегчение засчитано, улучшение после отмены препарата не взято"
2448225,,
2818054,грип и ангина (ОРЗ) прошли,"нормальное состояние уточнено фразой про грипп и ангину, взята она"
547905,ребенку стало лучше,улучшение от супрастина после аллергической реакции на другой препарат
591900,,
591856,,
275243,,
2660532,сейчас ребенок послушный | появилась усидчивость | больше стишков стал запоминать,
942280,"исчезли такие явления как чиханье, насморк, зуд кожи","улучшение сна прямо не описано, оправдывает ожидания это общая оценка"
2492997,боль в горле проходит полностью и воспаление тоже,
618967,,
950351,болезнь проходит легче и быстрее | после трех дней я выздоравливаю,
255563,мой ребенок не болел всю осень и зиму,
2719942,,
806166,,"эффект только показался, автор сама списывает его на самовнушение"
2538754,"пропала раздрожительность, плаксивость | стала ко всему относится спокойней",
2679540,,"температуру сбили без названного препарата, нулевая реакция не улучшение"
2671137,,"только сравнение эффективности с аналогами, улучшение не описано"
2509783,Сильный насморк у малышки прекратился,
1031967,Справляется с симптомами быстро | Спасает меня всегда,"описано обобщенно, но от первого лица, снятие сыпи противоаллергическими не взято"
877448,,"помогла медитация, а не препарат, временное улучшение описано обобщенно"
