id,text,label
tr0000,Аттестация пройдена. ЖДЕМ результаты!,positive
tr0001,"Хэй, пипл! Есть че по Солженицыну? Конкретно интересует: Архипелаг ГУЛАГ и Раковый корпус. Не хочется покупать и в библиотеке торчать. Скорое прочтение обезать не могу, но ГАРАНТИРУЮ возврат и бережное отношение к книге! Репост и все дела)",neutral
tr0002,Архив журнала | D Y S T O P I A,neutral
tr0003,Нам 2 месяца!!! Ура!!!,positive
tr0004,""" если человек вам снится- значит он хочет вас увидеть"" 
О ДА! ИВАН ОХЛАБЫСТИН, ЙЕН СОМЕРХАЛЬДЕР, ДЖОННИ ДЕП, МАРИО КАСАС И ЕЩЕ МНОГО КРАСАВЧИКОВ МЕЧТАЮТ МЕНЯ УВИДЕТЬ!",positive
tr0005,Клааасс!!!,positive
tr0006,почему у меня радио не играет?,neutral
tr0007,"Виталик, один из МиниТестов показал следующий результат, смотри ниже. Много других тестов здесь - vk.com/minitest",neutral
tr0008,Можно сделать петарду),neutral
tr0009,Калифорникейшн есть 1я серия 5 сезона,neutral
tr0010,честно кормлю кота поливаю кактус,neutral
tr0011,"Набережные Челны 
Родина Камаза",neutral
tr0012,Вот это вообще трендец. Видать не зря ФСБ писали Павлу Дурову.,negative
tr0013,Ты мне сестра,neutral
tr0014,"Вернулась, наконец. Довольна, счастлива, отдохнувша. Родная комната встречает стикером ""существование предшествует сущности"", как обычно.",positive
tr0015,географию писали?),neutral
tr0016,"Женщина пахнет ядом, 
Риском опасных встреч. 
Женщина пахнет наградой, 
Если ее беречь. 
Пахнут ванилью руки, 
Соленой слезой иногда, 
Если рекой разлуки, 
Годы и города. 
Женщина пахнет шлейфом 
Сплетен, интриг, духов. 
Песней волшебной флейты 
Из лабиринта снов. 
Пахнет едва уловимо 
Пряным букетом вина. 
Женщина пахнет мужчиной, 
Если она влюблена. 
Сраженный тогда в одночасье 
Надолго теряешь покой… 
Но, Боже, какое счастье 
С женщиной быть такой.",positive
tr0017,"централ парк
мммммм",positive
tr0018,не плохо было сказано**)))),positive
tr0019,Красотка моя)))***,positive
tr0020,аха))) вот и торт на свадьбу тебе нашла)),positive
tr0021,моя рыбка :*,positive
tr0022,"В Анапе ветер, но жить можно! 😊",positive
tr0023,Посоветуйте что нибудь интересное посмотреть),neutral
tr0024,Смауг - самовлюбленный напыщенный баран,negative
tr0025,"Мой клиент англичанин, спросил у меня, почему все население Беларуси ходит в одежде черного цвета. Я задумался и ответил. У нас в стране траур уже десятый год.",neutral
tr0026,"Давайте, петушки, победите :)",positive
tr0027,"играю в квн. нет, уже не в ""Прокурорах"". 
нет, не кинул. все хорошо) 
да,теперь в ИТМО.
приходите 13 апреля, будет приятно!)",neutral
tr0028,Это про меня,neutral
tr0029,ктооо со мнооой зааавтра в киноооо на Форсаж 5? мм??,neutral
tr0030,а что такое РЛС??? и где оно???,neutral
tr0031,Покрасил наконец-то!🚗👍🏻,positive
tr0032,"Да, это золото, и ты будешь до конца дней своих чахнуть над ним как Кощей Бессмертный...",negative
tr0033,"Блин,ты опять мне сегодня приснился...я все чаще думаю о твоих губах,а ты читаешь и думаешь что это не о тебе,это самое забавное...",negative
tr0034,Вы тут с Гребенщиковым похожи! хахаха....)),positive
tr0035,Что это такое???,neutral
tr0036,")))
не звоночка,не письма(((",negative
tr0037,Слито.ТОП 10 лучших фильмов 2013 !!!www.bio-dom.ru,neutral
tr0038,Мой завод изготовил новую партию высококлассных материалов,neutral
tr0039,"Вечер субботы, ау?!.
Может в клуб, в Анрыл погоняем? Желающие есть?",neutral
tr0040,Давай на твоем испробуем?))),neutral
tr0041,Барса всрала ебать ебать 4-0 я просто в шоке слов нету!!,negative
tr0042,"Сегодня осуществится моя давняя мечта... 
Я  БУДУ ВАРИТЬ ПИВО!",positive
tr0043,Встретил весту в боровичах),neutral
tr0044,Это очень смешно))) а как бы вы себя повели:?))),positive
tr0045,Дружбаны на прогулке!) @ Liepaja Ezer2,neutral
tr0046,Очень красиво)))),positive
tr0047,Вещи загружены в газель...Едем в Челябинск через полчаса...,neutral
tr0048,"Ваня, один из МиниТестов показал следующий результат, смотри ниже. Много других тестов здесь - VK.com/minitest",neutral
tr0049,"Мне холодно. Днем выпросил у друга хорошую кофту и в ней достаточно спокойно прокрутил педали через весь город. Были рваные дерганья ветра и случайные проблески солнца, а я неспешно накручивал свой путь через неприветливый понедельник. 
А еще мы пили днем горячий чай, а к вечеру я собрал кое-какой ужин, но все равно мне холодно. Да, а еще я купил себе новые кроссовки, хотя это мало влияет на утепление. Просто к слову. Потому что без слов мне холодно. Мне не согреться.",negative
tr0050,какой фильм посмотреть?????))))),neutral
tr0051,"Девочки, рулетка нечто! Как оказалось я самая везучая !))))",positive
tr0052,Давай встречаться без разрешения Ришата?,neutral
tr0053,а мы пожалуй ничего!!!!,positive
tr0054,Интересная антиутопия,neutral
