id,system,status,attempts,errors_attempt_1,errors_attempt_2,drug,indication,positive_effect,adverse_reaction,evidence,evidence_not_in_text,items_without_evidence,items_not_in_text,prompt_tokens,completion_tokens,seconds,gold_drug,gold_indication,gold_positive_effect,gold_adverse_reaction,text
2497493,version_1,invalid,1,"фрагмента evidence ""ребенок съедает таблетку спокойно"" нет в тексте отзыва дословно; фрагмента evidence ""температура и сопли после приема препарата"" нет в тексте отзыва дословно",,,профилактика,,,ребенок съедает таблетку спокойно | температура и сопли после приема препарата,2,1,0,319,71,6.82,,профилактики | бронхитом | профилактике,,температурой | соплями,"Эти таблетки рекомендовал педиатр для профилактики ребенку.
У меня двое детей как обычно заболевает один ребенок, следом другой.
Младший в 3 месяца переболел бронхитом, боюсь рецидива, стараюсь уберечь его всеми способами.
Вот решила это попробовать противовирусное средство.
В инструкции написано необходимо для профилактики давать по одной таблетки в день, но можно в комплексе давать с другими противовирусными средствами.
На вкус она не противная, ребенок его съедает спокойно не морщится.
Но продавав их 3 дня, сегодня 4 день ребенок проснулся с температурой и соплями.
Вывод: при профилактике бесполезен вообще.
Время использования: 3 дня"
2497493,final,valid,1,,,противовирусное средство,профилактика,,,противовирусное средство,0,1,0,1363,52,3.79,,профилактики | бронхитом | профилактике,,температурой | соплями,"Эти таблетки рекомендовал педиатр для профилактики ребенку.
У меня двое детей как обычно заболевает один ребенок, следом другой.
Младший в 3 месяца переболел бронхитом, боюсь рецидива, стараюсь уберечь его всеми способами.
Вот решила это попробовать противовирусное средство.
В инструкции написано необходимо для профилактики давать по одной таблетки в день, но можно в комплексе давать с другими противовирусными средствами.
На вкус она не противная, ребенок его съедает спокойно не морщится.
Но продавав их 3 дня, сегодня 4 день ребенок проснулся с температурой и соплями.
Вывод: при профилактике бесполезен вообще.
Время использования: 3 дня"
644737,version_1,valid,1,,,Назоферон,,,,Половину нужно просто выбросить.,0,1,0,317,43,9.42,Назоферон,чихать | температура | кашель,,,"В холодную пору года противовирусные препараты являются большой необходимостью.
Врачи выписывают только те, которые рекламируют.
Вот так к нам и попал спрей Назоферон.
Упаковочка такая маленькая, а стоит недешево.
После открытия он действителен только 10 дней.
За это времья ты не успееш использовать все лекарство.
Половину нужно просто выбросить.
Да и не помогает оно ничего.
Мой ребенок просто начал чихать, доктор выписал Назоферон.
Капали мы 3 дня по 5 раз на день, а уже на четвертый день у нас появилась температура и кашель.
И поменяли мы наше противовирусное лекарство на антибиотик.
Вот такой он, этот Назоферон."
644737,final,valid,1,,,Назоферон,чихание,,температура | кашель,доктор выписал Назоферон. | у нас появилась температура и кашель.,0,1,0,1361,75,4.74,Назоферон,чихать | температура | кашель,,,"В холодную пору года противовирусные препараты являются большой необходимостью.
Врачи выписывают только те, которые рекламируют.
Вот так к нам и попал спрей Назоферон.
Упаковочка такая маленькая, а стоит недешево.
После открытия он действителен только 10 дней.
За это времья ты не успееш использовать все лекарство.
Половину нужно просто выбросить.
Да и не помогает оно ничего.
Мой ребенок просто начал чихать, доктор выписал Назоферон.
Капали мы 3 дня по 5 раз на день, а уже на четвертый день у нас появилась температура и кашель.
И поменяли мы наше противовирусное лекарство на антибиотик.
Вот такой он, этот Назоферон."
2459114,version_1,valid,1,,,Беллатаминал,ВСД | бессонница,,затуманивают рассудок | заторможенность,"Мне таблетки не подошли, они затуманивают рассудок, вызывают заторможенность, но с моей бессонницей они не справились.",0,2,0,339,110,11.33,Беллатаминал | Беллатаминала | алкалоиды красавки | феноборбитал | эрготамин,расшаталась у меня нервная система | ВСД | бессонница | бессонницей | бессонницы,,затуманивают рассудок | заторможенность,"Как-то совсем расшаталась у меня нервная система, да и ВСД обострилась, беспокоила бессонница и врач мне выписал в качестве снотворного таблетки ""Беллатаминал"".
Это седативный препарат.
Активными компонентами Беллатаминала являются алкалоиды красавки, феноборбитал, эрготамин.
У препарата много противопоказаний и есть побочные эффекты.
Стоят таблетки недорого, два года назад покупала рублей за 100 30 таблеток.
Мне нужно было применять по 1 таблетки перед сном.
Мне таблетки не подошли, они затуманивают рассудок, вызывают заторможенность, но с моей бессонницей они не справились.
Есть более современные и эффективные средства в лечении бессонницы.
Время использования: 1 месяц"
2459114,final,valid,1,,,Беллатаминал,нервная система | ВСД | бессонница,,затуманивают рассудок | заторможенность,"врач мне выписал в качестве снотворного таблетки ""Беллатаминал"" | Мне таблетки не подошли, они затуманивают рассудок, вызывают заторможенность",0,3,0,1383,121,6.98,Беллатаминал | Беллатаминала | алкалоиды красавки | феноборбитал | эрготамин,расшаталась у меня нервная система | ВСД | бессонница | бессонницей | бессонницы,,затуманивают рассудок | заторможенность,"Как-то совсем расшаталась у меня нервная система, да и ВСД обострилась, беспокоила бессонница и врач мне выписал в качестве снотворного таблетки ""Беллатаминал"".
Это седативный препарат.
Активными компонентами Беллатаминала являются алкалоиды красавки, феноборбитал, эрготамин.
У препарата много противопоказаний и есть побочные эффекты.
Стоят таблетки недорого, два года назад покупала рублей за 100 30 таблеток.
Мне нужно было применять по 1 таблетки перед сном.
Мне таблетки не подошли, они затуманивают рассудок, вызывают заторможенность, но с моей бессонницей они не справились.
Есть более современные и эффективные средства в лечении бессонницы.
Время использования: 1 месяц"
211588,version_1,valid,1,,,римантадин,,,сильный приступ тошноты | затуманенность сознания | болит живот | менструальный цикл сбивается,"Принимала римантадин курсом по инструкции, после каждого приема чувствовала сильный приступ тошноты и затуманенность сознания, несколько раз думала в обморок упаду. | Часа через 2 после приема таблеток начинает болеть живот. | Менструальный цикл после приема римантадина сбивается (нет месячных).",0,0,0,265,185,14.86,римантадин | римантадина,,,тошноты | затуманенность сознания | болеть живот | нет месячных,"Принимала римантадин курсом по инструкции, после каждого приема чувствовала сильный приступ тошноты и затуманенность сознания, несколько раз думала в обморок упаду.
Часа через 2 после приема таблеток начинает болеть живот.
Менструальный цикл после приема римантадина сбивается (нет месячных).
Я девушка крепкая и подобных проблем никогда не испытывала с другими препаратами.
Так что будьте аккуратны.
У мужа побочных реакций на него нет.
Общее впечатление : побочных эффектов масса"
211588,final,valid,1,,,римантадин,,,тошнота | затуманенность сознания | болит живот | сбивается менструальный цикл,"Принимала римантадин курсом по инструкции, после каждого приема чувствовала сильный приступ тошноты и затуманенность сознания, несколько раз думала в обморок упаду | Часа через 2 после приема таблеток начинает болеть живот | Менструальный цикл после приема римантадина сбивается (нет месячных)",0,0,0,1309,173,9.31,римантадин | римантадина,,,тошноты | затуманенность сознания | болеть живот | нет месячных,"Принимала римантадин курсом по инструкции, после каждого приема чувствовала сильный приступ тошноты и затуманенность сознания, несколько раз думала в обморок упаду.
Часа через 2 после приема таблеток начинает болеть живот.
Менструальный цикл после приема римантадина сбивается (нет месячных).
Я девушка крепкая и подобных проблем никогда не испытывала с другими препаратами.
Так что будьте аккуратны.
У мужа побочных реакций на него нет.
Общее впечатление : побочных эффектов масса"
2710914,version_1,valid,1,,,противовирусное лекарство,грудное вскармливание,,вкус и запах очень противны | очень сильно пахнет спиртом,"Назначали ни раз ребенку это противовирусное лекарство. | Пила их и сама, так как при грудном вскармливании мало подходящих лекарств. | Эффекта если честно не вижу. | Очень сильно пахнет спиртом. | А стоит не дешево. Около 275 руб 20 мл. флакон.",0,1,0,208,165,13.69,,,,,"Назначали ни раз ребенку это противовирусное лекарство.
Пила их и сама, так как при грудном вскармливании мало подходящих лекарств.
Эффекта если честно не вижу.
Да и вкус и запах очень противны.
Очень сильно пахнет спиртом.
А стоит не дешево.
Около 275 руб 20 мл.
флакон."
2710914,final,valid,1,,,противовирусное лекарство,грудное вскармливание,,,Эффекта если честно не вижу,0,2,0,1252,60,3.75,,,,,"Назначали ни раз ребенку это противовирусное лекарство.
Пила их и сама, так как при грудном вскармливании мало подходящих лекарств.
Эффекта если честно не вижу.
Да и вкус и запах очень противны.
Очень сильно пахнет спиртом.
А стоит не дешево.
Около 275 руб 20 мл.
флакон."
