n,category,id,split,mode,type,question,gold_answer,gold_evidence,bm25_top5,pred_answer,pred_evidence,pred_answerable,reason
1,retrieval,q012,train,bm25,адрес,Какой адрес у технопарка «Ясный полдень»?,"улица Озерная, 72",[8],"[1, 16, 21, 20, 10]",,[],False,"Лексический разрыв: в вопросе слово «адрес», в абзаце «располагается на улице Озерной, дом 72». Общее только название организации, а оно есть почти в каждом абзаце, поэтому первым идет заголовок [1]. Полный режим ответил верно."
2,retrieval,q020,train,bm25,старый адрес,"Где располагалось издательство «Синяя гора» раньше, до смены здания?",улица Северная,[8],"[6, 7, 4, 3, 1]",Светлоярск,"[3, 7]",True,"Парафраз: «где располагалось раньше, до смены здания» против «переехало с улицы Северной». Псевдооснова не сводит эти слова. Ошибка поиска перешла в неверный ответ: модель назвала город основания по абзацам [3, 7], а не отказалась."
3,retrieval,q048,test,bm25,основатель,Кто считается основателем института «Горный хрусталь»?,Григорий Горбунов,[2],"[1, 28, 11, 15, 9]",,[],False,"Синонимия: в вопросе «основателем», в абзаце другой шаблон «когда Григорий Горбунов открыл институт». Ключевого слова нет, абзац не попал в top-5. Полный режим ответил верно."
4,retrieval,q042,train,bm25,руководитель в году,Кто руководил обсерваторией «Звездный путь» в 2010 году?,Роман Федотов,[9],"[29, 18, 32, 3, 40]",,[],False,"В абзаце «Роман Федотов возглавлял обсерваторию с 1995 по 2012 год» нет ни полного названия, ни года 2010, а глагол другой (руководил / возглавлял). Top-5 заняли абзацы со словами «руководство», «руководит» и названием. Год внутри интервала BM25 найти не может в принципе."
5,retrieval,q007,train,bm25,руководитель в год события,"Кто был директором киностудии «Хрустальный родник», когда она переехала на улицу Школьную?",Вера Белова,"[7, 14]","[14, 8, 23, 1, 12]",,[],False,"Двухшаговый вопрос. Абзац о переезде [14] найден, абзац о директоре [7] нет: у него нет общих слов с вопросом, связь идет только через год 1984, который надо вычислить. Одношаговый поиск по исходному вопросу находит только первый шаг."
6,llm,q047,train,full,город филиала по руководителю,"В каком городе работает филиал технопарка «Ясный полдень», которым руководит Евгений Жуков?",Липоборск,"[20, 21]","[21, 20, 16, 15, 18]",Туманоярск,"[18, 21]",True,"Смешение сущностей в длинном контексте. Связь «Евгений Жуков → лесной филиал» найдена верно ([21]), но город взят из абзаца о речном филиале [18]. В режиме BM25 тот же вопрос решен верно."
7,llm,q062,train,bm25,город филиала по руководителю,"В каком городе работает филиал театра «Каменный цветок», которым руководит Андрей Ершов?",Волнорецк,"[28, 29]","[29, 24, 30, 28, 26]",Ледогорск,[30],True,Подмена филиала в коротком контексте: в top-5 три абзаца о разных филиалах. Модель взяла город горного филиала [30] и не сослалась на абзац о руководителе [29]. Полный режим ответил верно.
8,llm,q064,train,bm25,город филиала по руководителю,"В каком городе работает филиал колледжа «Серебряный ручей», которым руководит Роман Уваров?",Бережанск,"[19, 20]","[20, 21, 19, 3, 6]",Верхнеуслон,[],False,"Галлюцинация и несогласованный JSON: город «Верхнеуслон», которого нет в тексте, при answerable = false и пустом evidence_ids. Pydantic такой ответ пропускает (типы верны), ловит только проверка согласованности полей. В метриках засчитан как отказ."
9,llm,q015,train,full,руководитель в году,Кто занимал пост директора ботанического сада «Ветер перемен» в 1996 году?,Роман Тарасов,[8],"[4, 8, 13, 27, 23]",,[],False,"Абзац [8] в контексте в обоих режимах: «в 1985 году назначен… оставался до 2006 года». Модель не выводит, что 1996 год внутри периода, и отказывается. prompt_v2 исправил ответ только в режиме BM25."
10,llm,q094,test,full,партнер,Кто стал партнером клиники «Дальний берег» в 2004 году?,с фондом «Открытый горизонт»,[31],"[31, 23, 2, 21, 36]",,[],False,"Вопрос «кто стал партнером», в тексте «подписала соглашение о сотрудничестве с фондом». В коротком контексте модель связала формулировки и ответила верно, в полном документе отказалась."
