id,doc_id,split,type,question,gold_answer,gold_evidence,gold_answerable,bm25_top5,retrieval_recall,full_answer,full_evidence,full_answerable,full_answer_ok,full_overall_ok,full_answerable_ok,full_latency_s,full_prompt_tokens,full_error,bm25_answer,bm25_evidence,bm25_answerable,bm25_answer_ok,bm25_overall_ok,bm25_answerable_ok,bm25_latency_s,bm25_prompt_tokens,bm25_error
q001,doc_12,train,посетители в году,Какой была посещаемость мероприятий фабрики «Весенний сад» в 2024 году?,10600,[31],True,"[31, 17, 30, 19, 13]",1.0,10600,[31],True,True,True,True,1.001,1949,,10600,[31],True,True,True,True,0.803,660,
q002,doc_30,train,год премии,В каком году театр «Красный мост» получил премию «Серебряный якорь»?,2009,[21],True,"[23, 21, 17, 2, 6]",1.0,2009,[21],True,True,True,True,1.297,1762,,2009,[21],True,True,True,True,0.733,580,
q003,doc_02,train,адрес,На какой улице сейчас находится издательство «Южный крест»?,"улица Солнечная, 73",[15],True,"[15, 12, 26, 13, 34]",1.0,"Солнечной, дом 73",[15],True,True,True,True,1.796,2581,,улице Солнечной,[15],True,True,True,True,0.792,635,
q004,doc_09,test,город филиала по руководителю,"В каком городе работает филиал ботанического сада «Голубая лагуна», которым руководит Марина Мельникова?",Гранитогорск,"[30, 34]",True,"[34, 30, 36, 29, 18]",1.0,Гранитогорск,"[34, 30]",True,True,True,True,2.007,2747,,,[],False,False,False,False,0.707,731,
q005,doc_13,train,сотрудники в году,Сколько человек числилось в штате музея «Белая цапля» в 1977 году?,1299,[14],True,"[14, 25, 33, 15, 21]",1.0,1299,[14],True,True,True,True,0.709,2474,,1299,[14],True,True,True,True,0.778,626,
q006,doc_15,test,руководитель в год события,Кто руководил фабрикой «Белый парус» в год переезда в новое здание?,Николай Родионов,"[6, 7]",True,"[7, 4, 6, 2, 23]",1.0,,[],False,False,False,False,1.05,1547,,Николай Родионов,[6],True,True,True,True,0.845,674,
q007,doc_03,train,руководитель в год события,"Кто был директором киностудии «Хрустальный родник», когда она переехала на улицу Школьную?",Вера Белова,"[7, 14]",True,"[14, 8, 23, 1, 12]",0.5,,"[14, 19, 20]",False,False,False,False,1.908,2576,,,[],False,False,False,False,0.711,673,
q008,doc_07,train,глава филиала,Кто возглавляет восточный филиал конструкторского бюро «Лесная сказка»?,Марина Морозова,[26],True,"[26, 24, 21, 3, 1]",1.0,Марина Морозова,[26],True,True,True,True,1.672,2343,,Марина Морозова,[26],True,True,True,True,0.888,584,
q009,doc_21,train,город филиала,В каком городе находится лесной филиал музея «Лунный свет»?,Светлоярск,[17],True,"[17, 21, 15, 11, 6]",1.0,Светлоярск,[17],True,True,True,True,1.258,1410,,,[],False,False,False,False,0.594,583,
q010,doc_17,train,сотрудники в отсутствующем году,Сколько сотрудников работало в обсерватории «Медный всадник» в 1971 году?,,[],False,"[31, 33, 19, 9, 15]",,,[],False,False,True,True,1.429,2274,,,[],False,False,True,True,0.727,671,
q011,doc_19,test,партнер,Кто стал партнером технопарка «Ясный полдень» в 2024 году?,с компанией «Кварц-Систем»,[25],True,"[20, 25, 5, 16, 15]",1.0,компания «Кварц-Систем»,[25],True,True,True,True,1.494,1721,,компания «Кварц-Систем»,[25],True,True,True,True,1.056,688,
q012,doc_19,train,адрес,Какой адрес у технопарка «Ясный полдень»?,"улица Озерная, 72",[8],True,"[1, 16, 21, 20, 10]",0.0,"улица Озерная, дом 72",[8],True,True,True,True,1.197,1713,,,[],False,False,False,False,0.56,595,
q013,doc_24,train,год основания,Когда появился ботанический сад «Ветер перемен»?,1936,[2],True,"[2, 1, 17, 35, 5]",1.0,1936,[2],True,True,True,True,1.567,2350,,1936,[2],True,True,True,True,0.678,612,
q014,doc_29,test,адрес,На какой улице сейчас находится клиника «Дальний берег»?,"улица Солнечная, 86",[9],True,"[9, 32, 1, 7, 33]",1.0,улица Солнечная,[9],True,True,True,True,1.465,2052,,улица Солнечная,[9],True,True,True,True,0.786,602,
q015,doc_24,train,руководитель в году,Кто занимал пост директора ботанического сада «Ветер перемен» в 1996 году?,Роман Тарасов,[8],True,"[4, 8, 13, 27, 23]",1.0,,[],False,False,False,False,1.514,2364,,,[],False,False,False,False,0.632,700,
q016,doc_04,train,премия в году,Какой наградой был отмечен институт «Полярная звезда» в 2023 году?,«Стальной маятник»,[28],True,"[28, 4, 3, 26, 7]",1.0,премия «Стальной маятник»,[28],True,True,True,True,1.225,2159,,Премия «Стальной маятник»,[28],True,True,True,True,0.858,673,
q017,doc_21,test,премия в отсутствующем году,Какую премию получил музей «Лунный свет» в 2020 году?,,[],False,"[22, 23, 13, 17, 2]",,,[],False,False,True,True,0.915,1412,,,[],False,False,True,True,0.561,607,
q018,doc_05,train,год открытия филиала,В каком году открылся восточный филиал колледжа «Серебряный ручей»?,1984,[21],True,"[21, 22, 19, 13, 17]",1.0,1984,[21],True,True,True,True,1.166,1619,,1984,[21],True,True,True,True,0.671,563,
q019,doc_11,train,адрес,Какой адрес у киностудии «Северный маяк»?,"улица Березовая, 10",[10],True,"[10, 1, 22, 7, 29]",1.0,"Камышеярск, улица Березовая, 10",[10],True,True,True,True,1.629,1825,,"Камышеярск, улица Березовая, 10",[10],True,True,True,True,1.025,615,
q020,doc_27,train,старый адрес,"Где располагалось издательство «Синяя гора» раньше, до смены здания?",улица Северная,[8],True,"[6, 7, 4, 3, 1]",0.0,улица Северная,"[8, 10]",True,True,True,True,1.355,1722,,Светлоярск,"[3, 7]",True,False,False,True,0.779,663,
q021,doc_14,train,отсутствующий показатель,Сколько человек посетили мероприятия завода «Северное сияние» в 2019 году?,,[],False,"[26, 25, 27, 30, 29]",,,[],False,False,True,True,1.382,2280,,,[],False,False,True,True,0.573,632,
q022,doc_18,train,старый адрес,На какой улице находилась библиотека «Новая заря» до переезда?,улица Луговая,[7],True,"[7, 9, 14, 13, 12]",1.0,Луговой,[7],True,True,True,True,1.215,1708,,Луговой,[7],True,True,True,True,0.698,628,
