id,label,comment
1,0,
2,1,
3,1,
4,0,
5,1,
6,1,"Может быть доверие или сомнение, трудно понять наверняка"
7,1,
8,1,
9,1,
10,0,
11,1,
12,1,
13,1,
14,1,Мама никогда не врет может быть искренне или иронично
15,1,
16,0,
17,1,
18,1,
19,1,
20,1,
21,0,
22,1,
23,1,"Похоже на сарказм, но не уверен полностью"
24,?,"Нет контекста, штамп вежливости или скрытая ирония"
25,1,
26,1,
27,1,
28,1,
29,?,"Непонятно, к чему относится фраза, мало контекста"
30,0,
31,0,
32,1,
33,0,
34,1,Может быть искренняя похвала ребенку или ирония над ним
35,0,
36,1,
37,1,
38,1,"Риторический вопрос, похож на скептический сарказм"
39,0,
40,1,
41,1,
42,0,
43,1,
44,1,Повтор похож на типичный ироничный сарказм
45,0,
46,0,
47,1,
48,0,
49,1,
50,1,
51,0,Может быть искренняя благодарность или намек на редкость
52,0,
53,1,
54,0,
55,0,
56,1,
57,1,
58,1,
59,0,
60,0,
61,1,
62,1,
63,1,Может быть искренняя похвала или сарказм про юмор преподавателя
64,0,
65,1,
66,0,
67,1,
68,0,
69,0,
70,0,
71,1,
72,1,
73,0,
74,1,
75,0,
76,1,
77,1,
78,1,
79,0,
80,0,
81,0,
82,1,
83,0,
84,1,"Ну ты и намекает на иронию, но может быть искренне"
85,0,
86,1,
87,1,
88,0,
89,1,
90,0,
