id,label,comment
1,0,
2,1,
3,1,
4,0,
5,1,
6,?,"можно прочесть и как доверие, и как насмешку над сыном"
7,1,
8,1,
9,1,
10,0,
11,1,
12,1,
13,1,
14,?,"похвала себе или насмешка над маминой вежливостью, опоры нет"
15,1,
16,0,
17,1,
18,1,"устойчивый мем, возможна и буквальная реплика разработчика"
19,1,
20,1,
21,0,
22,1,
23,1,
24,?,может быть искренней благодарностью или вежливым отказом
25,1,ирония только в слове эксперты при прямом недовольстве
26,1,
27,1,
28,1,
29,?,"утешение после неудачи, искреннее или ироничное, неясно"
30,0,
31,0,
32,1,
33,0,
34,?,"без адресата и ситуации не понять, похвала или насмешка"
35,0,
36,1,
37,1,
38,0,"риторический вопрос, скепсис без переворота смысла"
39,0,
40,1,
41,1,
42,0,
43,1,"сарказм через условие, буквальный смысл формально верен"
44,?,нет контекста: может быть и восторг и досада
45,0,
46,0,возможна ирония как в 5 но опоры в тексте нет
47,1,"самоирония с маркером ну конечно, смысл перевернут слабо"
48,0,
49,0,"насмешка над встречами, но без иронического переворота"
50,0,"едкое замечание, но прямая критика без переворота смысла"
51,?,"может быть искренней радостью или намеком, что так не бывает"
52,0,
53,1,
54,0,"идиома, читаю как буквально хорошую погоду"
55,0,без опоры для иронии читаю буквально
56,1,
57,1,
58,1,
59,0,
60,0,
61,1,
62,1,
63,?,нельзя понять хвалит или насмехается
64,0,"название провоцирует, но слово правда говорит об искренности"
65,1,
66,0,
67,1,
68,?,"типичная ироничная формула, но может быть искренней"
69,0,"возможна ирония, но деталь про планы компании за буквальное прочтение"
70,0,
71,1,
72,1,
73,0,
74,1,
75,0,
76,1,"опора на маркеры как всегда и исключительно, фактов нет"
77,?,"намек на плохой итог, может быть сожалением, а не иронией"
78,1,
79,0,
80,0,
81,0,
82,1,"сказано противоположное, но ирония раскрыта словом шутка"
83,0,
84,?,"может быть восхищением, может быть насмешкой"
85,0,
86,1,
87,1,
88,0,
89,1,"устойчивая формула, обычно насмешливая"
90,0,"шутливая рамка, но смысл буквальный"
