id,text
1,"Прочитал эту книгу за один вечер, не мог оторваться."
2,"Да, конечно, я обязательно прочитаю пользовательское соглашение целиком."
3,Отпуск удался: неделю пролежал с температурой в отеле с видом на парковку.
4,"Спасибо за быструю доставку, заказ пришел на следующий день, все целое."
5,"Замечательно, что вы наконец пришли, мы как раз заканчиваем."
6,"Сын сказал, что уроки сделал. Верю, как себе."
7,Гениальное решение: закрыть единственный вход в метро на ремонт в час пик.
8,"Вы так быстро отвечаете на письма, я даже успел состариться."
9,"Ага, щас. Уже бегу."
10,Новая версия приложения работает быстрее и потребляет меньше памяти.
11,Автобус пришел по расписанию. Запишу этот день в календарь.
12,"Конечно, дорогая, я совсем не устал после двенадцатичасовой смены."
13,"Лучший день в моей жизни: сломалась машина, потерял телефон и промок."
14,"Мама сказала, что суп получился отличный. Мама никогда не врет."
15,Прочитал эту книгу за один вечер. Засыпал всего четыре раза.
16,"Наконец-то снег! Дети счастливы, лепим снеговика."
17,"Порции в ресторане такие щедрые, что по дороге домой пришлось заехать за шаурмой."
18,"Это не баг, это фича."
19,Врач сказал больше гулять. Гуляю от холодильника до дивана.
20,Наконец-то снег. В мае.
21,Жду не дождусь концерта любимой группы в субботу!
22,"Инструкция написана так понятно, что пришлось вызывать мастера."
23,"Вот уж действительно, умные люди придумали эту реформу."
24,"Спасибо за совет, обязательно учту."
25,Опять эти эксперты по всему на свете в комментариях.
26,"Ремонт дороги у нашего дома идет уже четвертый год. Видимо, строят на века."
27,"Спасибо, капитан Очевидность."
28,"Смотрю на свою зарплату и понимаю, что счастье не в деньгах."
29,"Ну, зато весело было."
30,"В субботу идем в поход, кто с нами?"
31,"Хороший ресторан, но порции маленькие."
32,"Вот это сервис! Официант принес счет раньше, чем меню."
33,"Презентация прошла хорошо, заказчик одобрил макет."
34,"Какой ты у меня умный, все знаешь."
35,"Автобус пришел по расписанию, доехал без проблем."
36,Супер. Теперь еще и дождь.
37,"Спасибо, что предупредили об отключении воды заранее. За целых пять минут."
38,"Интересно, а кто-нибудь вообще читает эти отчеты?"
39,"Поезд задерживается на 40 минут, приносим извинения."
40,Банк заботливо напомнил мне о кредите в три часа ночи. Очень чутко.
41,"Тем, кто оставляет мусор на лестнице: спасибо, нам очень не хватало этого аромата."
42,Лучший день в моей жизни: сегодня родилась дочь.
43,"Оставила бы отличный отзыв, если бы товар хоть раз включился."
44,"Прекрасно, просто прекрасно."
45,"Мне очень повезло с соседями по общежитию, мы дружим до сих пор."
46,"Спасибо, что пришли, без вас мы бы не справились."
47,"Ну конечно, кто же еще мог забыть ключи, как не я."
48,"Этот фильм точно не для всех, но мне понравился."
49,"Встреча, которая могла быть письмом, продлилась два часа."
50,"Провайдер обещал скорость до 100 мегабит. Ключевое слово ""до""."
51,"Приятно, когда в поликлинике тебя принимают ровно в назначенное время."
52,"Кажется, я простыл. Весь день пью чай с медом."
53,Сосед снова решил сделать нам утро добрым с помощью перфоратора.
54,Погода прямо шепчет: возьми отпуск.
55,Отличная погода сегодня.
56,"Твой проект, конечно, самый важный в мире."
57,Жду не дождусь очередного созвона в пятницу вечером.
58,Выиграл в лотерею сто рублей. Теперь можно и на пенсию.
59,"Сдал сессию на все пятерки, сам в шоке."
60,Мы с друзьями выиграли школьную олимпиаду по физике!
61,Купил абонемент в спортзал. Хожу туда платить.
62,Обновление системы на рабочем ноутбуке началось прямо перед дедлайном. Как удобно.
63,Какой тонкий юмор у нашего преподавателя.
64,"Статья называется ""Как полюбить понедельник"", советую, там правда полезные советы."
65,"Отличная работа, курьер. Посылка пришла всего через три недели и всего лишь в мокрой коробке."
66,"Инструкция написана понятно, собрал стол за полчаса."
67,"Преподаватель сказал, что экзамен будет легким. Все, кто сдавал в прошлом году, почему-то смеются."
68,"Спасибо, очень помогли."
69,"Очень полезная встреча, узнал много нового о планах компании."
70,"Завтра контрольная по матанализу, пожелайте удачи."
71,"Высокая культура вождения в нашем городе: поворотники, видимо, продаются отдельно."
72,У нас в офисе новая традиция: кондиционер ломается в самую жару.
73,"Уважаемые жильцы, просьба не оставлять мусор на лестничной площадке."
74,Какой замечательный сервис: трубку взяли с двадцатой попытки.
75,"Сегодня впервые приготовил борщ, вроде съедобно."
76,"Этот политик, как всегда, заботится исключительно о народе."
77,"Ну, как говорится, хотели как лучше."
78,Обожаю понедельники. Особенно когда в восемь утра звонит начальник.
79,В магазине у дома снова подорожал хлеб.
80,"Сайт госуслуг сегодня работает быстро, записался к врачу за пару минут."
81,"Лекция перенесена на среду, аудитория 305."
82,Цены на бензин снова снизились. Шутка.
83,"Кот опять спит на клавиатуре, работа встала."
84,Ну ты и гений.
85,"Ребята, спасибо всем за поздравления, очень приятно!"
86,"Чиновник заявил, что зарплаты в регионе выросли. Цены, видимо, тоже решили не отставать."
87,"Мне очень повезло с соседями: один играет на барабанах, другой учится на них играть."
88,"Сегодня в Москве до плюс двадцати пяти, осадков не ожидается."
89,"Молодец, возьми с полки пирожок."
90,"Дорогой дневник, сегодня я опять ничего не успел."
